Date,Open,High,Low,Close,Volume,ret_1d,is_outlier,market_regime
2010-01-04,172.7678031817412,179.04207752037607,171.9358575994318,177.30885314941406,1268756,,0,normal
2010-01-05,179.2154033274617,182.33520725385853,178.36611913821545,179.57937622070312,1706608,0.0127241725467852,0,normal
2010-01-06,179.2500153103392,181.81519526033733,178.8253838988113,180.46327209472656,840360,0.0049099608276081,0,normal
2010-01-07,180.77528277834577,181.12192761588813,175.0469789537103,176.4942169189453,734988,-0.0222391678639581,0,normal
2010-01-08,176.44221849336662,182.473846999174,175.07296718318102,181.1392517089844,2080960,0.0259779714242176,0,normal
2010-01-11,181.9885540421789,184.53638533576,178.88607827033607,179.99534606933594,1319720,-0.0063350865434159,0,normal
2010-01-12,181.8152238006217,184.39773216428,180.25532197583087,181.2172698974609,1315112,0.0067657021665938,0,normal
2010-01-13,179.3886991533232,189.08607978947256,178.52208708011872,188.4187927246093,2910448,0.0389704086845092,0,normal
2010-01-14,191.3479585941816,191.3479585941816,185.62831852750767,187.4395294189453,1362068,-0.0052108226093254,0,normal
2010-01-15,190.65465041023413,198.2808364266436,188.22813667774028,197.0935821533203,3870856,0.0502223686278489,0,normal
2010-01-18,196.02763916047235,200.01405445728125,195.1263711215932,197.0762481689453,1208876,-8.795185756405033e-05,0,normal
2010-01-19,186.58160957088472,199.30348109686528,186.58160957088472,193.6705017089844,629720,-0.0174324301260151,0,normal
2010-01-20,194.46777511511456,198.2808687448227,191.7726027456521,194.13845825195312,657428,0.0024133365569394,0,normal
2010-01-21,193.2545327724169,196.72098179075624,187.42222806755584,191.93728637695312,787508,-0.0114029216105038,0,normal
2010-01-22,189.0947717178441,200.7073745639445,186.7202628824717,197.1802673339844,2176368,0.026949687714401,0,normal
2010-01-25,195.85437119592024,195.85437119592024,177.75950293534066,181.83258056640625,4302320,-0.081031996209151,0,normal
2010-01-27,180.2553220529397,180.2553220529397,160.68721603318818,163.69436645507812,2686004,-0.1050853067742263,0,normal
2010-01-28,166.12956250585495,175.14232959015797,164.48299928853035,172.77647399902344,2997204,0.053997631313174,0,normal
2010-01-29,169.16273522855076,172.10921729708085,162.52448656637998,168.5561065673828,1312588,-0.0247300302332682,0,normal
2010-02-01,167.25613993774994,171.74519497172878,165.1242762283889,167.88009643554688,1158824,-0.0040186581323702,0,normal
2010-02-02,168.7987177955969,172.9411175004827,163.31305868750997,164.4483184814453,1183620,-0.0206536654190845,0,normal
2010-02-03,168.12275329019317,170.89591210735097,166.25953720991524,167.06549072265625,1286516,0.0157895480804572,0,normal
2010-02-04,166.37219923230717,167.7414400363228,162.19512246154866,163.5557098388672,944008,-0.0212322302975707,0,normal
2010-02-05,161.20721592862736,165.52294941718822,157.03014887117544,162.3511505126953,854112,-0.007392080117083,0,normal
2010-02-08,163.7897326381174,166.60622274961943,160.32328327011493,163.45175170898438,625648,0.0067562650632435,0,normal
2010-02-09,159.82060901404432,165.41893198505844,159.82060901404432,163.2697296142578,539220,-0.0011142341349659,0,normal
2010-02-10,164.30965696600552,167.08281573336424,160.86921110175552,161.70115661621094,588020,-0.0096536966618998,0,normal
2010-02-11,165.00295975410495,165.71357751313778,162.229800766641,163.04441833496094,437160,0.0082727493967018,0,normal
2010-02-15,163.2697394916933,165.73092027069632,162.9404226221478,164.30101013183594,392224,0.007677504311828,0,normal
2010-02-16,165.69620890664763,165.69620890664763,163.0963729928404,164.63894653320312,416352,0.0020547003391424,0,normal
2010-02-17,166.04288015481742,168.29607163917296,165.3495904673234,166.3548583984375,827240,0.0103683344623872,0,normal
2010-02-18,167.2387869324772,168.9200057388232,164.94226514701975,166.1988525390625,509164,-0.0009382296193845,0,normal
2010-02-19,165.1762703414268,165.8089014215632,161.5364994314898,162.94908142089844,440920,-0.0197472102165443,0,normal
2010-02-22,165.54891581122124,165.94755526656607,161.86581433912892,163.01840209960938,418120,0.0004253226672012,0,normal
2010-02-23,161.36319196513088,162.40312660722626,159.45664512128937,160.9298858642578,489340,-0.0128943121469351,0,normal
2010-02-24,159.63861363258786,162.9924088238056,158.28670086550304,159.101318359375,695924,-0.0114275569378792,0,normal
2010-02-25,159.80331872646278,161.36322096999658,155.7042380438933,157.28147888183594,876132,-0.0115041624515148,0,normal
2010-02-26,160.18460679962965,160.18460679962965,152.91372807006127,154.404296875,1618956,-0.0184625925100077,0,normal
2010-03-02,156.16348759220585,157.25541663275894,154.36093034076958,155.49620056152344,826260,0.0070468309280915,0,normal
2010-03-03,156.68349759780665,158.070077222566,155.81688533233205,157.55010986328125,532760,0.0131222678934816,0,normal
2010-03-04,157.94006762974405,159.9159476044357,156.8568024196635,159.1966552734375,1261860,0.0103966980743068,0,normal
2010-03-05,160.3145556143071,163.77233960183176,159.25728262956687,161.48448181152344,2210240,0.0142687865910158,0,normal
2010-03-08,164.48299592371382,166.04289788716315,157.5500983083834,158.000732421875,1649728,-0.0218093815939237,0,normal
2010-03-09,157.89672421003118,159.78594281463037,156.68346727318132,157.24676513671875,1981948,-0.0047833446963627,0,normal
2010-03-10,157.30742769734496,159.61262439818304,153.9103124204697,155.8775177001953,1105076,-0.0087457679854292,0,normal
2010-03-11,150.96382327731564,157.43741123801314,150.96382327731564,156.5968017578125,813940,0.0046038044297578,0,normal
2010-03-12,156.85681877534424,158.76336574388435,156.0595397290963,157.21212768554688,1007880,0.0039216648005551,0,normal
2010-03-15,157.37676579271988,157.72341065129416,155.49622166645906,156.42349243164062,1071648,-0.0050290009515858,0,normal
2010-03-16,156.85683415670155,159.37000995258242,156.85683415670155,158.3214111328125,779820,0.012060190228289,0,normal
2010-03-17,159.45664191483013,161.92648664014138,158.80668277659035,159.205322265625,2117624,0.0055674897452746,0,normal
2010-03-18,160.32322919628396,160.32322919628396,156.8654450021904,157.16009521484375,1542284,-0.0129297036315838,0,normal
2010-03-19,158.096063777428,158.93667335812268,156.5708178819741,157.10812377929688,900384,-0.0003307457317003,0,normal
2010-03-22,155.99021897671432,158.33007226136505,155.12360664906592,158.00942993164062,1089636,0.0057204595527258,0,normal
2010-03-23,158.41669199319898,159.14464827347138,156.61413459240654,157.74940490722656,609348,-0.0016469853223561,0,normal
2010-03-25,158.79800839275717,159.40463688213669,154.2742867389845,155.0022430419922,1958456,-0.017568140982096,0,normal
2010-03-26,156.68349632365877,157.88808947862535,155.66088962720937,157.21212768554688,839664,0.0141564370930327,0,normal
2010-03-29,157.81004410351989,158.55532830258963,156.18080932333606,156.73544311523438,532008,-0.0030367168340541,0,normal
2010-03-30,156.73546084236332,157.7147367378214,152.5237281910225,152.9656982421875,1669316,-0.0243456065505904,0,normal
2010-03-31,152.5237361730076,152.7490532129654,147.15074092145846,147.86135864257812,2644436,-0.0339386329654063,0,normal
2010-04-01,148.0173534772783,150.33987824343808,144.3775824901321,148.9706268310547,1565996,0.0074740823535002,0,normal
2010-04-05,150.79053432831333,150.79053432831333,147.1680908238636,149.1873016357422,955572,0.0014534233179333,0,normal
2010-04-06,149.80253570527725,150.253180254933,147.5926752896599,149.25657653808594,1375288,0.0004642407410857,0,normal
2010-04-07,148.1906681508359,150.2792011827066,145.7814822967624,147.50604248046875,1228660,-0.0117976742986272,0,normal
2010-04-08,147.84402688288253,149.23060626748168,146.52678069901782,147.4107208251953,1376664,-0.0006464309286755,0,normal
2010-04-09,147.6706987231263,148.75396382526188,146.8040866414178,147.3327178955078,882352,-0.0005292937603442,0,normal
2010-04-12,147.49737470420305,148.53730919095418,146.4921068160957,147.05540466308594,691664,-0.0018839979822375,0,normal
2010-04-13,146.96008465289805,148.3466640176476,145.3308496678129,146.63076782226562,1933240,-0.0028917748026104,0,normal
2010-04-15,147.32407224901652,148.71931575868126,145.77283431370094,146.73477172851562,1022648,0.0007090397240689,0,normal
2010-04-16,146.46613579196662,147.0467723528104,145.07955617743286,145.67752075195312,552336,-0.0072312663374587,0,normal
2010-04-19,144.72424286497824,145.14022096819102,142.9910183995294,143.61497497558594,620632,-0.0142594830859481,0,normal
2010-04-20,143.85757808543082,144.4295398343561,142.31500464313174,142.4883270263672,347808,-0.0078758529878681,0,normal
2010-04-21,142.99097476514942,145.30482448893628,142.5576687810126,143.8489227294922,1021080,0.0095035203744426,0,normal
2010-04-22,142.99102755635303,145.590864421014,142.99102755635303,143.90097045898438,733136,0.0003617567289637,0,normal
2010-04-23,144.03093568208214,144.89754781013318,142.31503943703655,142.8350067138672,428176,-0.0074351929349676,0,normal
2010-04-26,143.1643022610881,144.5508814597427,142.12436786209716,142.51434326171875,591428,-0.002247515805851,0,normal
2010-04-27,145.38287056502165,145.38287056502165,137.7653466868465,139.33392333984375,786588,-0.0225692707674181,0,normal
2010-04-28,136.2487540221132,138.27662850978675,132.07168781230976,133.45826721191406,23668384,-0.0430845545292415,0,normal
2010-04-29,135.36482943365095,136.57808654765293,132.64366493363684,133.15496826171875,2988676,-0.0022751989824731,0,normal
2010-04-30,135.36480858951165,135.4514697985958,133.11161715332256,134.18621826171875,1097208,0.0077148989153288,0,normal
2010-05-03,133.47559511955853,136.57807075527552,133.47559511955853,134.3682098388672,1248088,0.0013553424257031,0,normal
2010-05-04,135.19147600446428,135.87610162049532,128.25857979910714,128.90853881835938,1596644,-0.041480714680242,0,normal
2010-05-05,128.90853604684145,128.90853604684145,124.6274706163238,127.62594604492188,945024,-0.0099994623430612,0,normal
2010-05-06,128.60524692427958,131.03176101719052,125.8320879609528,127.25333404541016,2001200,-0.0029238333129981,0,normal
2010-05-07,125.7974128442128,126.12672968032452,121.3256964342457,123.57888793945312,1411576,-0.029300134954556,0,normal
2010-05-10,125.65875396038406,127.3746501425199,123.92552976782704,126.84600830078124,1148164,0.0260940967982552,0,normal
2010-05-11,127.04528997320412,127.04528997320412,122.1922638896438,122.80755615234376,852496,-0.0323552716756578,0,normal
